material_id,formula_pretty,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,total_magnetization,nsites,density,volume,energy_per_atom,e_total,is_magnetic,space_group_symbol,space_group_number,crystal_system,point_group,ordering,icsd_ids,has_props,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
mp-crrjd,Hf2NiS4,-1.547118301428569,0.091502165714284,False,0.0,0.0043026,7,7.197725266317263,125.48723755202464,-7.5819905285714295,,False,C2/m,12,Monoclinic,2/m,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-crhxd,Ta2NiS4,-1.160196269238093,0.045421177868654,False,0.0,0.4325923,7,7.597020898613433,119.96616621351338,-7.740708071428571,,True,P-3m1,164,Trigonal,-3m,FM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-bgaeb,Ta2Ni3S8,-1.044846476512819,0.0,True,0.5263999999999991,0.0,26,5.41565829197161,487.21374529543044,-6.750496232307692,,False,Pbam,55,Orthorhombic,mmm,NM,icsd-201972,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-bpwu,Ta2NiS5,-1.237286124645831,0.0,True,0.0,1e-07,16,5.856361670380489,329.43001519182155,-7.512408665624999,,False,Cmcm,63,Orthorhombic,mmm,NM,icsd-61147,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-crhzk,Ta4NiS8,-1.252751379179486,0.041505137710913007,False,0.0,0.5894077,13,7.185617374365983,240.1057793870966,-7.894830498461538,,True,P-3m1,164,Trigonal,-3m,FM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-frc,Ta9(NiS3)2,-0.9168304130000001,0.0,True,0.0,1.2e-06,17,10.6536386299043,302.11609422510384,-9.339595561176472,,False,P-62m,189,Hexagonal,-6m2,NM,"icsd-61416,icsd-63591","{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-utl,Zr2CuS4,-1.5954547421428562,0.0,True,0.0,4.7e-06,14,4.41838446166646,281.307972732152,-6.987483139285715,,False,Fd-3m,227,Cubic,m-3m,NM,icsd-27027,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': True, 'substrates': True}",,,,,,
mp-crdxa,Zr4CuS8,-1.714396173846152,0.0,True,0.0,1e-07,13,4.02370091823183,282.67661619251,-7.205872396153845,,False,F-43m,216,Cubic,-43m,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-iif,NbCu3S4,-0.847748116249999,0.0,True,1.6574,0.0,8,4.1524118433614134,164.67953723815498,-5.71631260375,6.718374793333329,False,P-43m,215,Cubic,-43m,NM,"icsd-628466,icsd-628471,icsd-170784,icsd-108392,icsd-628472,icsd-183994","{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': True, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': True, 'dielectric': True, 'piezoelectric': True, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': True, 'insertion_electrodes': True, 'substrates': True}",,,,,,
mp-crltr,Nb2CuS4,-1.201959642857142,0.00227348816327,False,0.0,8.5e-06,7,4.914267637370284,127.5979961882165,-7.037875014285714,,False,P3m1,156,Trigonal,3m,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cgisv,Nb2CuS4,-0.755203854285714,0.44902927673469806,False,0.0,0.0011166,7,4.369782098053338,143.49701865921176,-6.591119225714286,,False,P-3m1,164,Trigonal,-3m,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
